particle_index,mean_I
222,-0.001755267803940772
224,-0.0015752980718104377
225,-0.002306924602850362
226,-0.0010666339790782414
228,-0.0014755592734153487
229,-0.002297289679270352
230,-0.0015098991502724153
231,-0.001497905002600586
232,-0.002211733894865271
233,-0.0021469826207102904
234,-0.0012130538624299332
235,-0.002306978953147447
236,-0.0021859029834090985
237,-0.0012673193475805345
240,-0.0014566732375434475
241,-0.001727365547258347
242,-0.00199042265330794
244,-0.0017274851909728649
245,-0.001834897379141765
246,-0.002149683559739024
247,-0.0022561292300867977
248,-0.0013715597922010596
251,-0.0016699481031611598
252,-0.0022774769921918387
253,-0.0018516889954092494
254,-0.0011779698154220815
256,-0.0017081581821166646
257,-0.0018516889954092494
259,-0.0013850125905236856
260,-0.001245919275990638
261,-0.0021305222945855375
265,-0.0022428143786968583
267,-0.0011595249234534555
268,-0.002250194394559751
269,-0.0022903475932051494
271,-0.0018424987160609388
272,-0.0011678521265283022
273,-0.0022130317999241402
274,-0.0022103708047692696
275,-0.0019342532256157255
276,-0.0012629238842677016
277,-0.002304315146301043
278,-0.0023040879071268934
279,-0.0011563745727400541
280,-0.001370405277214603
281,-0.0016943531353141137
282,-0.00131549272513146
283,-0.0017782794099774166
284,-0.0020691288130243943
286,-0.0010900069246978685
287,-0.001647096463429246
288,-0.0011732341392059105
290,-0.001842605953305529
291,-0.001892950763950175
292,-0.0016459525922849234
293,-0.0016247096339646557
294,-0.0022565539932309807
295,-0.0016669821295871175
296,-0.0019447419738542926
297,-0.0022366000728674695
298,-0.001359418103803767
300,-0.0022092412189314227
303,-0.0022369477470033016
304,-0.0018555626831905478
306,-0.002286557012212432
308,-0.0016555886502724762
309,-0.0015863127784498665
311,-0.0014668984780448918
312,-0.002162843450627739
314,-0.0022599198110795156
315,-0.0010594294684238674
316,-0.0010889147688632785
317,-0.002106624469161615
318,-0.001078016008522425
319,-0.001844107833423814
321,-0.002295436079256737
322,-0.0021635541883348037
324,-0.0010960829283267017
325,-0.0021543071465317015
326,-0.002240924492180856
327,-0.002230789934012751
328,-0.002076943511010504
329,-0.0013080342569240732
330,-0.0018807639678096923
331,-0.0014033847277972076
332,-0.001550467727590688
333,-0.002062614975560976
334,-0.0018516889954092494
335,-0.0012631292600402166
337,-0.0016702759913892983
338,-0.001073939460152297
339,-0.0023069493075308554
340,-0.0022776779451681266
341,-0.0018507472326729389
343,-0.0018173859599172838
345,-0.002234446731430956
346,-0.002299226660249455
347,-0.0016156362089869685
348,-0.0016298994068906847
350,-0.001761133017942364
351,-0.0013212077345060383
352,-0.0023069591894030526
353,-0.0021311622410524426
355,-0.0017013639087880422
356,-0.0018497148561637767
357,-0.0021477574142815393
358,-0.0018161727272320274
